[Metadata],,,,,,,,,,
Opcode,VQCOP-B004,,,,,,,,,
Test name,Dark current measurement,,,,,,,,,
Device ID,R1C0Q0,,,,,,,,,
Test start date,2025-02-16-17-06-57,,,,,,,,,
Test end date,-,,,,,,,,,
Remarks,tested with keithley SMU lowest possible reading > 700 nano Amps, device slightly chipped near the edge of r 250 gold bond pad intact,,,,,,,,
,,,,,,,,,,
[Unit],,,,,,,,,,
Voltage,V,,,,,,,,,
Current,uA,,,,,,,,,
Temperature,C,,,,,,,,,
,,,,,,,,,,
[Settings],,,,,,,,,,
Temp,25,,,,,,,,,
Step size,0.1,,,,,,,,,
,,,,,,,,,,
[Measurement data],,,,,,,,,,
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-7.1,-7.913564,-17.14425,-69.1725,-77.87772,-34.82355,-53.84235,-236.8363,-119.2208,-184.1476,0.6455812
-7.2,-7.27037,-16.02253,-71.29268,-82.64929,-37.67153,-56.06029,-248.0309,-125.7011,-193.3326,1.894718
-7.3,-9.521609,-17.31492,-71.77945,-83.30689,-37.76426,-55.86984,-262.0229,-129.8248,-197.8231,-0.6572809
-7.4,-9.273645,-17.94269,-78.15546,-85.98861,-40.10668,-56.09205,-274.8942,-129.6499,-205.4659,-0.04417961
-7.5,-6.910937,-17.19815,-78.81477,-90.26285,-41.0167,-60.89834,-286.1863,-133.0902,-209.6313,-2.063229
-7.6,-11.53396,-18.66039,-82.19661,-93.46774,-38.4686,-60.88242,,-138.4669,-218.4118,0.7179333
-7.7,-10.97954,-19.89561,-85.9852,-95.64831,-40.54068,-61.51068,,-141.5928,-223.836,0.2546585
-7.8,-10.65963,-19.93752,-90.48314,-100.9297,-44.27086,-62.74568,,-147.3814,-230.5948,-1.24675
-7.9,-9.122072,-20.2462,-93.23735,-106.0372,-44.7295,-63.60852,,-150.361,-236.682,-1.554785
-8,-10.55287,-20.96599,-98.20596,-106.508,-46.16487,-64.65174,,-155.0927,-244.3945,0.4597823
-8.1,-12.52763,-23.49494,-99.02386,-110.5541,-45.1137,-66.56404,,-159.5942,-246.9554,-0.1355656
-8.2,-10.6697,-22.544,-103.9281,-116.9529,-48.26777,-71.12283,,-168.1257,-256.5671,0.3768946
-8.3,-9.348907,-24.52888,-108.3004,-120.0741,-47.51171,-68.79153,,-172.2023,-264.7871,-0.1072185
-8.4,-13.12495,-23.86974,-115.297,-126.0099,-50.20574,-73.45123,,-176.0748,-271.1003,-1.723063
-8.5,-11.64031,-26.53495,-117.6216,-128.6974,-52.54813,-77.09223,,-181.0715,-278.6554,
-8.6,-16.31113,-28.34259,-123.7647,-136.4883,-54.92568,-76.34878,,-184.1476,-286.7445,
-8.7,-14.42397,-25.42883,-128.2381,-141.1534,-53.96473,-77.79442,,-192.8507,-296.9597,
-8.8,-14.88859,-26.93746,-137.6089,-147.1218,-55.57216,-80.95367,,-198.1633,-306.6061,
-8.9,-15.33394,-27.60737,-142.3752,-154.0143,-57.92174,-81.35239,,-202.4042,-318.0416,
-9,-16.43616,-30.07596,-149.6651,-159.5182,-61.42564,-84.97218,,-1.510431,-328.1623,
-9.1,-19.06307,-30.81455,-156.9982,-166.5336,-60.57517,-87.84546,,-1.319975,-335.9347,
-9.2,-18.93082,-33.18835,-166.2824,-173.0623,-61.68077,-83.37633,,0.7202616,-345.1915,
-9.3,-17.24955,-30.43737,-174.2643,-180.5008,-65.5317,-94.41259,,0.7092603,-354.9532,
-9.4,-20.04369,-33.13611,-188.5542,,-66.04273,-77.2553,,0.3510504,-365.7806,
-9.5,-20.66157,-33.691,-126.9823,,-67.15953,-96.21706,,-0.7042545,-377.9647,
-9.6,-18.88117,-36.72717,-130.2504,,-68.97142,-102.3404,,-0.4337635,-388.7874,
-9.7,-19.80312,-36.15144,-133.8132,,-71.06594,-102.8711,,-0.6078044,-400.8659,
-9.8,-18.5906,-37.83382,-137.9634,,-73.70941,-106.5141,,1.638138,-412.396,
-9.9,-21.76565,-38.14971,-144.4412,,-76.46577,-103.5078,,0.8337083,-427.7772,
-10,-21.73788,-43.66756,-148.3098,,-78.50581,-106.7628,,0.9416835,-441.4413,
